"action_type","combined_shot_type","lat","loc_x","loc_y","lon","minutes_remaining","period","playoffs","season","seconds_remaining","shot_distance","shot_made_flag","shot_type","shot_zone_area","shot_zone_basic","shot_zone_range","game_month","matchup","opponent"
"Jump Shot","Jump Shot",33.8463,154,198,-118.1158,0,1,0,"2008-09",30,25,"0","3PT Field Goal","Right Side Center(RC)","Above the Break 3","24+ ft.","1","Away","HOU"
"Jump Shot","Jump Shot",33.8303,-43,214,-118.3128,0,1,0,"2008-09",0,21,"0","2PT Field Goal","Center(C)","Mid-Range","16-24 ft.","1","Away","HOU"
"Jump Bank Shot","Jump Shot",33.9293,-138,115,-118.4078,11,2,0,"2008-09",40,17,"0","2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.","1","Away","HOU"
"Jump Shot","Jump Shot",33.9943,53,50,-118.2168,10,2,0,"2008-09",10,7,"1","2PT Field Goal","Center(C)","In The Paint (Non-RA)","Less Than 8 ft.","1","Away","HOU"
"Layup Shot","Layup",34.0443,0,0,-118.2698,8,2,0,"2008-09",52,0,"0","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","1","Away","HOU"
"Jump Shot","Jump Shot",33.8993,165,145,-118.1048,4,2,0,"2008-09",58,21,"0","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","1","Away","HOU"
"Turnaround Jump Shot","Jump Shot",33.9813,-90,63,-118.3598,3,2,0,"2008-09",7,10,"0","2PT Field Goal","Left Side(L)","Mid-Range","8-16 ft.","1","Away","HOU"
"Jump Shot","Jump Shot",33.9623,67,82,-118.2028,0,2,0,"2008-09",39,10,"0","2PT Field Goal","Right Side(R)","In The Paint (Non-RA)","8-16 ft.","1","Away","HOU"
"Layup Shot","Layup",34.0443,0,0,-118.2698,0,2,0,"2008-09",1,0,"0","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","1","Away","HOU"
"Layup Shot","Layup",34.0443,0,0,-118.2698,10,3,0,"2008-09",29,0,"0","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","1","Away","HOU"
"Jump Bank Shot","Jump Shot",33.9813,-65,63,-118.3348,5,3,0,"2008-09",22,9,"1","2PT Field Goal","Left Side(L)","In The Paint (Non-RA)","8-16 ft.","1","Away","HOU"
"Jump Shot","Jump Shot",33.9403,61,104,-118.2088,4,3,0,"2008-09",59,12,"1","2PT Field Goal","Right Side(R)","In The Paint (Non-RA)","8-16 ft.","1","Away","HOU"
"Jump Shot","Jump Shot",33.9993,-15,45,-118.2848,4,3,0,"2008-09",27,4,"0","2PT Field Goal","Center(C)","In The Paint (Non-RA)","Less Than 8 ft.","1","Away","HOU"
"Layup Shot","Layup",34.0443,0,0,-118.2698,4,3,0,"2008-09",3,0,"0","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","1","Away","HOU"
"Pullup Jump shot","Jump Shot",33.8723,-27,172,-118.2968,11,4,0,"2008-09",24,17,"1","2PT Field Goal","Center(C)","Mid-Range","16-24 ft.","1","Away","HOU"
"Fadeaway Jump Shot","Jump Shot",34.0163,106,28,-118.1638,10,4,0,"2008-09",47,10,"0","2PT Field Goal","Right Side(R)","Mid-Range","8-16 ft.","1","Away","HOU"
"Turnaround Jump Shot","Jump Shot",33.9703,-60,74,-118.3298,7,4,0,"2008-09",12,9,"0","2PT Field Goal","Left Side(L)","In The Paint (Non-RA)","8-16 ft.","1","Away","HOU"
"Jump Shot","Jump Shot",33.9103,-109,134,-118.3788,5,4,0,"2008-09",47,17,"1","2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.","1","Away","HOU"
"Turnaround Jump Shot","Jump Shot",33.9723,-62,72,-118.3318,5,4,0,"2008-09",0,9,"0","2PT Field Goal","Left Side(L)","In The Paint (Non-RA)","8-16 ft.","1","Away","HOU"
"Jump Shot","Jump Shot",33.9833,-161,61,-118.4308,4,4,0,"2008-09",1,17,"1","2PT Field Goal","Left Side(L)","Mid-Range","16-24 ft.","1","Away","HOU"
"Jump Shot","Jump Shot",33.9183,-117,126,-118.3868,3,4,0,"2008-09",22,17,"1","2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.","1","Away","HOU"
"Jump Shot","Jump Shot",33.8243,-163,220,-118.4328,0,4,0,"2008-09",27,27,"1","3PT Field Goal","Left Side Center(LC)","Above the Break 3","24+ ft.","1","Away","HOU"
"Jump Shot","Jump Shot",33.9843,143,60,-118.1268,10,1,0,"2008-09",59,15,"0","2PT Field Goal","Right Side(R)","Mid-Range","8-16 ft.","1","Away","SAS"
"Jump Shot","Jump Shot",33.8473,58,197,-118.2118,11,2,0,"2008-09",8,20,"0","2PT Field Goal","Center(C)","Mid-Range","16-24 ft.","1","Away","SAS"
"Jump Shot","Jump Shot",33.8963,129,148,-118.1408,4,2,0,"2008-09",4,19,"0","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","1","Away","SAS"
"Running Jump Shot","Jump Shot",33.9943,80,50,-118.1898,3,2,0,"2008-09",47,9,"1","2PT Field Goal","Right Side(R)","In The Paint (Non-RA)","8-16 ft.","1","Away","SAS"
"Jump Shot","Jump Shot",33.9593,69,85,-118.2008,3,2,0,"2008-09",25,10,"1","2PT Field Goal","Right Side(R)","In The Paint (Non-RA)","8-16 ft.","1","Away","SAS"
"Running Hook Shot","Hook Shot",34.0213,51,23,-118.2188,1,2,0,"2008-09",45,5,"1","2PT Field Goal","Center(C)","In The Paint (Non-RA)","Less Than 8 ft.","1","Away","SAS"
"Jump Shot","Jump Shot",33.8793,-111,165,-118.3808,0,2,0,"2008-09",41,19,"1","2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.","1","Away","SAS"
"Layup Shot","Layup",34.0333,26,11,-118.2438,10,3,0,"2008-09",28,2,"0","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","1","Away","SAS"
"Layup Shot","Layup",34.0433,-19,1,-118.2888,10,3,0,"2008-09",16,1,"0","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","1","Away","SAS"
"Jump Shot","Jump Shot",34.0333,77,11,-118.1928,7,3,0,"2008-09",8,7,"1","2PT Field Goal","Center(C)","In The Paint (Non-RA)","Less Than 8 ft.","1","Away","SAS"
"Jump Shot","Jump Shot",33.8353,119,209,-118.1508,3,3,0,"2008-09",22,24,"0","3PT Field Goal","Right Side Center(RC)","Above the Break 3","24+ ft.","1","Away","SAS"
"Jump Shot","Jump Shot",34.0403,223,4,-118.0468,5,4,0,"2008-09",58,22,"1","3PT Field Goal","Right Side(R)","Right Corner 3","24+ ft.","1","Away","SAS"
"Layup Shot","Layup",34.0183,20,26,-118.2498,3,4,0,"2008-09",47,3,"0","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","1","Away","SAS"
NA,"Bank Shot",34.0183,-75,26,-118.3448,1,4,0,"2008-09",31,7,"1","2PT Field Goal","Center(C)","In The Paint (Non-RA)","Less Than 8 ft.","1","Away","SAS"
"Jump Shot","Jump Shot",33.9363,-218,108,-118.4878,0,4,0,"2008-09",12,24,"1","3PT Field Goal","Left Side Center(LC)","Above the Break 3","24+ ft.","1","Away","SAS"
"Turnaround Jump Shot","Jump Shot",33.9103,10,134,-118.2598,7,1,0,"2008-09",45,13,"1","2PT Field Goal","Center(C)","In The Paint (Non-RA)","8-16 ft.","1","Home","ORL"
"Step Back Jump shot","Jump Shot",33.8553,92,189,-118.1778,6,1,0,"2008-09",11,21,"0","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","1","Home","ORL"
"Jump Shot","Jump Shot",33.8963,-97,148,-118.3668,7,2,0,"2008-09",18,17,"1","2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.","1","Home","ORL"
"Layup Shot","Layup",34.0443,0,0,-118.2698,4,2,0,"2008-09",47,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","1","Home","ORL"
"Jump Shot","Jump Shot",33.9363,-23,108,-118.2928,3,2,0,"2008-09",8,11,"0","2PT Field Goal","Center(C)","In The Paint (Non-RA)","8-16 ft.","1","Home","ORL"
"Jump Shot","Jump Shot",33.8983,124,146,-118.1458,2,2,0,"2008-09",20,19,"1","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","1","Home","ORL"
"Driving Layup Shot","Layup",34.0443,0,0,-118.2698,9,3,0,"2008-09",6,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","1","Home","ORL"
"Jump Shot","Jump Shot",33.9613,-142,83,-118.4118,5,3,0,"2008-09",16,16,"0","2PT Field Goal","Left Side(L)","Mid-Range","16-24 ft.","1","Home","ORL"
"Jump Shot","Jump Shot",33.9363,-56,108,-118.3258,3,3,0,"2008-09",41,12,"0","2PT Field Goal","Center(C)","In The Paint (Non-RA)","8-16 ft.","1","Home","ORL"
"Jump Shot","Jump Shot",33.8383,-152,206,-118.4218,3,3,0,"2008-09",33,25,"1","3PT Field Goal","Left Side Center(LC)","Above the Break 3","24+ ft.","1","Home","ORL"
"Jump Shot","Jump Shot",33.9733,53,71,-118.2168,1,3,0,"2008-09",52,8,"0","2PT Field Goal","Right Side(R)","In The Paint (Non-RA)","8-16 ft.","1","Home","ORL"
"Layup Shot","Layup",34.0443,0,0,-118.2698,0,3,0,"2008-09",2,0,"0","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","1","Home","ORL"
"Jump Shot","Jump Shot",33.8933,84,151,-118.1858,7,4,0,"2008-09",51,17,"1","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","1","Home","ORL"
"Jump Shot","Jump Shot",33.9593,138,85,-118.1318,6,4,0,"2008-09",0,16,"1","2PT Field Goal","Right Side(R)","Mid-Range","16-24 ft.","1","Home","ORL"
"Jump Shot","Jump Shot",33.8113,-146,233,-118.4158,5,4,0,"2008-09",10,27,"0","3PT Field Goal","Left Side Center(LC)","Above the Break 3","24+ ft.","1","Home","ORL"
"Jump Shot","Jump Shot",33.8793,132,165,-118.1378,4,4,0,"2008-09",42,21,"0","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","1","Home","ORL"
"Driving Layup Shot","Layup",34.0443,0,0,-118.2698,1,4,0,"2008-09",39,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","1","Home","ORL"
"Jump Shot","Jump Shot",33.9103,67,134,-118.2028,1,4,0,"2008-09",16,14,"0","2PT Field Goal","Center(C)","In The Paint (Non-RA)","8-16 ft.","1","Home","ORL"
"Jump Shot","Jump Shot",33.8083,-141,236,-118.4108,1,4,0,"2008-09",7,27,"0","3PT Field Goal","Left Side Center(LC)","Above the Break 3","24+ ft.","1","Home","ORL"
"Jump Shot","Jump Shot",33.7983,86,246,-118.1838,0,4,0,"2008-09",8,26,"0","3PT Field Goal","Right Side Center(RC)","Above the Break 3","24+ ft.","1","Home","ORL"
"Jump Shot","Jump Shot",34.0333,239,11,-118.0308,0,4,0,"2008-09",4,23,"0","3PT Field Goal","Right Side(R)","Right Corner 3","24+ ft.","1","Home","ORL"
"Turnaround Jump Shot","Jump Shot",33.9613,-76,83,-118.3458,2,1,0,"2008-09",38,11,"1","2PT Field Goal","Left Side(L)","In The Paint (Non-RA)","8-16 ft.","1","Home","CLE"
"Jump Shot","Jump Shot",33.9253,-168,119,-118.4378,4,2,0,"2008-09",10,20,"0","2PT Field Goal","Left Side(L)","Mid-Range","16-24 ft.","1","Home","CLE"
"Jump Shot","Jump Shot",34.0003,181,44,-118.0888,2,2,0,"2008-09",6,18,"0","2PT Field Goal","Right Side(R)","Mid-Range","16-24 ft.","1","Home","CLE"
"Jump Shot","Jump Shot",33.9023,97,142,-118.1728,11,3,0,"2008-09",27,17,"0","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","1","Home","CLE"
"Jump Shot","Jump Shot",34.0133,228,31,-118.0418,11,3,0,"2008-09",19,23,"0","3PT Field Goal","Right Side(R)","Right Corner 3","24+ ft.","1","Home","CLE"
"Hook Shot","Hook Shot",33.9753,-4,69,-118.2738,8,3,0,"2008-09",44,6,"0","2PT Field Goal","Center(C)","In The Paint (Non-RA)","Less Than 8 ft.","1","Home","CLE"
"Driving Finger Roll Layup Shot","Layup",34.0443,0,0,-118.2698,8,3,0,"2008-09",22,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","1","Home","CLE"
"Fadeaway Jump Shot","Jump Shot",34.0273,106,17,-118.1638,6,3,0,"2008-09",44,10,"1","2PT Field Goal","Right Side(R)","Mid-Range","8-16 ft.","1","Home","CLE"
"Jump Shot","Jump Shot",34.0223,231,22,-118.0388,6,3,0,"2008-09",11,23,"0","3PT Field Goal","Right Side(R)","Right Corner 3","24+ ft.","1","Home","CLE"
"Driving Layup Shot","Layup",34.0443,0,0,-118.2698,2,3,0,"2008-09",13,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","1","Home","CLE"
"Jump Shot","Jump Shot",33.8683,-180,176,-118.4498,0,3,0,"2008-09",48,25,"0","3PT Field Goal","Left Side Center(LC)","Above the Break 3","24+ ft.","1","Home","CLE"
"Jump Shot","Jump Shot",34.0323,-223,12,-118.4928,11,4,0,"2008-09",3,22,"1","3PT Field Goal","Left Side(L)","Left Corner 3","24+ ft.","1","Home","CLE"
"Layup Shot","Layup",34.0443,0,0,-118.2698,10,4,0,"2008-09",27,0,"0","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","1","Home","CLE"
"Floating Jump shot","Jump Shot",34.0443,-127,0,-118.3968,9,4,0,"2008-09",19,12,"1","2PT Field Goal","Left Side(L)","Mid-Range","8-16 ft.","1","Home","CLE"
"Layup Shot","Layup",34.0443,0,0,-118.2698,7,4,0,"2008-09",49,0,"0","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","1","Home","CLE"
"Jump Shot","Jump Shot",33.7983,65,246,-118.2048,7,4,0,"2008-09",0,25,"0","3PT Field Goal","Center(C)","Above the Break 3","24+ ft.","1","Home","CLE"
"Driving Slam Dunk Shot","Dunk",34.0443,0,0,-118.2698,6,4,0,"2008-09",34,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","1","Home","CLE"
"Jump Shot","Jump Shot",33.8663,-103,178,-118.3728,5,4,0,"2008-09",40,20,"0","2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.","1","Home","CLE"
"Jump Shot","Jump Shot",33.8633,78,181,-118.1918,4,4,0,"2008-09",15,19,"0","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","1","Home","CLE"
"Jump Shot","Jump Shot",33.8383,-136,206,-118.4058,9,1,0,"2008-09",39,24,"0","3PT Field Goal","Left Side Center(LC)","Above the Break 3","24+ ft.","1","Away","LAC"
"Jump Shot","Jump Shot",33.7813,111,263,-118.1588,5,2,0,"2008-09",31,28,"1","3PT Field Goal","Right Side Center(RC)","Above the Break 3","24+ ft.","1","Away","LAC"
"Jump Shot","Jump Shot",33.8303,-161,214,-118.4308,4,2,0,"2008-09",57,26,"1","3PT Field Goal","Left Side Center(LC)","Above the Break 3","24+ ft.","1","Away","LAC"
"Jump Shot","Jump Shot",33.8573,-182,187,-118.4518,2,2,0,"2008-09",35,26,"0","3PT Field Goal","Left Side Center(LC)","Above the Break 3","24+ ft.","1","Away","LAC"
"Reverse Layup Shot","Layup",34.0443,0,0,-118.2698,2,3,0,"2008-09",44,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","1","Away","LAC"
"Driving Layup Shot","Layup",34.0443,0,0,-118.2698,2,3,0,"2008-09",22,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","1","Away","LAC"
"Jump Shot","Jump Shot",33.8193,147,225,-118.1228,1,3,0,"2008-09",50,26,"0","3PT Field Goal","Right Side Center(RC)","Above the Break 3","24+ ft.","1","Away","LAC"
"Jump Shot","Jump Shot",34.0243,-60,20,-118.3298,9,4,0,"2008-09",36,6,"0","2PT Field Goal","Center(C)","In The Paint (Non-RA)","Less Than 8 ft.","1","Away","LAC"
"Turnaround Jump Shot","Jump Shot",33.9993,-105,45,-118.3748,2,4,0,"2008-09",11,11,"0","2PT Field Goal","Left Side(L)","Mid-Range","8-16 ft.","1","Away","LAC"
"Layup Shot","Layup",34.0443,0,0,-118.2698,0,4,0,"2008-09",33,0,"0","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","1","Away","LAC"
"Layup Shot","Layup",34.0443,0,0,-118.2698,11,1,0,"2008-09",39,0,"0","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","1","Home","WAS"
"Driving Reverse Layup Shot","Layup",34.0443,0,0,-118.2698,6,1,0,"2008-09",47,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","1","Home","WAS"
"Jump Shot","Jump Shot",33.8393,-142,205,-118.4118,3,1,0,"2008-09",36,24,"0","3PT Field Goal","Left Side Center(LC)","Above the Break 3","24+ ft.","1","Home","WAS"
"Jump Shot","Jump Shot",33.8653,106,179,-118.1638,1,1,0,"2008-09",2,20,"1","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","1","Home","WAS"
"Jump Shot","Jump Shot",33.7923,100,252,-118.1698,0,2,0,"2008-09",57,27,"1","3PT Field Goal","Right Side Center(RC)","Above the Break 3","24+ ft.","1","Home","WAS"
"Jump Shot","Jump Shot",33.8543,4,190,-118.2658,9,3,0,"2008-09",55,19,"0","2PT Field Goal","Center(C)","Mid-Range","16-24 ft.","1","Home","WAS"
"Jump Shot","Jump Shot",33.8473,165,197,-118.1048,4,3,0,"2008-09",57,25,"0","3PT Field Goal","Right Side Center(RC)","Above the Break 3","24+ ft.","1","Home","WAS"
"Jump Shot","Jump Shot",33.8823,-149,162,-118.4188,4,3,0,"2008-09",25,22,"0","2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.","1","Home","WAS"
"Jump Shot","Jump Shot",34.0293,-180,15,-118.4498,8,1,0,"2008-09",49,18,"1","2PT Field Goal","Left Side(L)","Mid-Range","16-24 ft.","1","Home","SAS"
"Jump Shot","Jump Shot",33.8603,200,184,-118.0698,3,1,0,"2008-09",17,27,"0","3PT Field Goal","Right Side Center(RC)","Above the Break 3","24+ ft.","1","Home","SAS"
"Jump Shot","Jump Shot",33.9613,20,83,-118.2498,0,1,0,"2008-09",27,8,"0","2PT Field Goal","Center(C)","In The Paint (Non-RA)","8-16 ft.","1","Home","SAS"
"Jump Shot","Jump Shot",33.8543,103,190,-118.1668,7,2,0,"2008-09",35,21,"0","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","1","Home","SAS"
"Running Jump Shot","Jump Shot",33.9993,0,45,-118.2698,3,2,0,"2008-09",54,4,"0","2PT Field Goal","Center(C)","In The Paint (Non-RA)","Less Than 8 ft.","1","Home","SAS"
"Jump Shot","Jump Shot",33.8273,-169,217,-118.4388,2,2,0,"2008-09",19,27,"1","3PT Field Goal","Left Side Center(LC)","Above the Break 3","24+ ft.","1","Home","SAS"
"Jump Shot","Jump Shot",33.9693,160,75,-118.1098,1,2,0,"2008-09",16,17,"0","2PT Field Goal","Right Side(R)","Mid-Range","16-24 ft.","1","Home","SAS"
"Jump Shot","Jump Shot",33.9253,-150,119,-118.4198,0,2,0,"2008-09",5,19,"1","2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.","1","Home","SAS"
"Jump Shot","Jump Shot",33.8113,-103,233,-118.3728,11,3,0,"2008-09",5,25,"1","3PT Field Goal","Left Side Center(LC)","Above the Break 3","24+ ft.","1","Home","SAS"
"Jump Shot","Jump Shot",33.9063,99,138,-118.1708,9,3,0,"2008-09",7,16,"0","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","1","Home","SAS"
"Jump Bank Shot","Jump Shot",33.9813,47,63,-118.2228,6,3,0,"2008-09",34,7,"1","2PT Field Goal","Center(C)","In The Paint (Non-RA)","Less Than 8 ft.","1","Home","SAS"
"Jump Shot","Jump Shot",33.8723,56,172,-118.2138,5,3,0,"2008-09",23,18,"0","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","1","Home","SAS"
"Jump Shot","Jump Shot",33.8953,-136,149,-118.4058,3,3,0,"2008-09",49,20,"1","2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.","1","Home","SAS"
"Jump Shot","Jump Shot",33.9343,125,110,-118.1448,9,1,0,"2008-09",29,16,"0","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","1","Home","CHA"
"Jump Shot","Jump Shot",33.8503,-30,194,-118.2998,8,1,0,"2008-09",12,19,"0","2PT Field Goal","Center(C)","Mid-Range","16-24 ft.","1","Home","CHA"
"Jump Shot","Jump Shot",33.8723,51,172,-118.2188,0,1,0,"2008-09",2,17,"0","2PT Field Goal","Center(C)","Mid-Range","16-24 ft.","1","Home","CHA"
"Jump Shot","Jump Shot",33.8583,99,186,-118.1708,6,2,0,"2008-09",36,21,"0","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","1","Home","CHA"
"Turnaround Fadeaway shot","Jump Shot",33.9663,102,78,-118.1678,4,2,0,"2008-09",14,12,"1","2PT Field Goal","Right Side(R)","Mid-Range","8-16 ft.","1","Home","CHA"
"Driving Slam Dunk Shot","Dunk",34.0443,0,0,-118.2698,3,2,0,"2008-09",54,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","1","Home","CHA"
"Jump Shot","Jump Shot",33.8803,-112,164,-118.3818,2,2,0,"2008-09",23,19,"0","2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.","1","Home","CHA"
"Turnaround Fadeaway shot","Jump Shot",33.9293,-101,115,-118.3708,1,2,0,"2008-09",1,15,"1","2PT Field Goal","Left Side(L)","Mid-Range","8-16 ft.","1","Home","CHA"
"Pullup Jump shot","Jump Shot",33.8933,65,151,-118.2048,10,3,0,"2008-09",57,16,"1","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","1","Home","CHA"
"Fadeaway Jump Shot","Jump Shot",33.9833,124,61,-118.1458,8,3,0,"2008-09",6,13,"1","2PT Field Goal","Right Side(R)","Mid-Range","8-16 ft.","1","Home","CHA"
"Layup Shot","Layup",34.0443,0,0,-118.2698,7,3,0,"2008-09",30,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","1","Home","CHA"
"Jump Shot","Jump Shot",33.8993,75,145,-118.1948,6,3,0,"2008-09",22,16,"0","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","1","Home","CHA"
"Tip Shot","Tip Shot",34.0443,0,0,-118.2698,4,3,0,"2008-09",23,0,"0","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","1","Home","CHA"
"Jump Shot","Jump Shot",33.8903,54,154,-118.2158,3,3,0,"2008-09",13,16,"1","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","1","Home","CHA"
"Jump Shot","Jump Shot",33.9863,-133,58,-118.4028,11,4,0,"2008-09",47,14,"0","2PT Field Goal","Left Side(L)","Mid-Range","8-16 ft.","1","Home","CHA"
"Turnaround Jump Shot","Jump Shot",34.0143,124,30,-118.1458,10,4,0,"2008-09",42,12,"0","2PT Field Goal","Right Side(R)","Mid-Range","8-16 ft.","1","Home","CHA"
"Fadeaway Bank shot","Jump Shot",33.9563,99,88,-118.1708,8,4,0,"2008-09",11,13,"1","2PT Field Goal","Right Side(R)","Mid-Range","8-16 ft.","1","Home","CHA"
"Jump Shot","Jump Shot",33.8023,51,242,-118.2188,6,4,0,"2008-09",29,24,"0","3PT Field Goal","Center(C)","Above the Break 3","24+ ft.","1","Home","CHA"
"Turnaround Fadeaway shot","Jump Shot",34.0353,132,9,-118.1378,2,4,0,"2008-09",22,13,"1","2PT Field Goal","Right Side(R)","Mid-Range","8-16 ft.","1","Home","CHA"
"Turnaround Fadeaway shot","Jump Shot",33.9203,119,124,-118.1508,1,4,0,"2008-09",40,17,"1","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","1","Home","CHA"
"Jump Shot","Jump Shot",33.8383,125,206,-118.1448,1,4,0,"2008-09",12,24,"1","3PT Field Goal","Right Side Center(RC)","Above the Break 3","24+ ft.","1","Home","CHA"
"Pullup Jump shot","Jump Shot",33.8903,10,154,-118.2598,4,5,0,"2008-09",37,15,"1","2PT Field Goal","Center(C)","Mid-Range","8-16 ft.","1","Home","CHA"
"Jump Shot","Jump Shot",33.9343,108,110,-118.1618,3,5,0,"2008-09",25,15,"0","2PT Field Goal","Right Side(R)","Mid-Range","8-16 ft.","1","Home","CHA"
"Driving Finger Roll Layup Shot","Layup",34.0443,0,0,-118.2698,2,5,0,"2008-09",58,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","1","Home","CHA"
"Pullup Jump shot","Jump Shot",34.0463,118,-2,-118.1518,0,5,0,"2008-09",51,11,"1","2PT Field Goal","Right Side(R)","Mid-Range","8-16 ft.","1","Home","CHA"
"Pullup Jump shot","Jump Shot",33.8393,108,205,-118.1618,9,1,0,"2008-09",24,23,"1","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","1","Away","MIN"
"Turnaround Jump Shot","Jump Shot",33.9883,105,56,-118.1648,9,1,0,"2008-09",0,11,"1","2PT Field Goal","Right Side(R)","Mid-Range","8-16 ft.","1","Away","MIN"
"Floating Jump shot","Jump Shot",33.9153,-27,129,-118.2968,8,1,0,"2008-09",28,13,"1","2PT Field Goal","Center(C)","In The Paint (Non-RA)","8-16 ft.","1","Away","MIN"
"Jump Shot","Jump Shot",33.8573,-172,187,-118.4418,7,1,0,"2008-09",59,25,"0","3PT Field Goal","Left Side Center(LC)","Above the Break 3","24+ ft.","1","Away","MIN"
"Pullup Jump shot","Jump Shot",33.9103,92,134,-118.1778,6,1,0,"2008-09",1,16,"0","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","1","Away","MIN"
"Jump Shot","Jump Shot",33.9313,45,113,-118.2248,3,1,0,"2008-09",38,12,"1","2PT Field Goal","Center(C)","In The Paint (Non-RA)","8-16 ft.","1","Away","MIN"
"Jump Shot","Jump Shot",33.9363,-166,108,-118.4358,2,1,0,"2008-09",55,19,"0","2PT Field Goal","Left Side(L)","Mid-Range","16-24 ft.","1","Away","MIN"
"Layup Shot","Layup",34.0443,0,0,-118.2698,4,2,0,"2008-09",48,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","1","Away","MIN"
"Jump Shot","Jump Shot",33.8203,-128,224,-118.3978,4,2,0,"2008-09",18,25,"0","3PT Field Goal","Left Side Center(LC)","Above the Break 3","24+ ft.","1","Away","MIN"
"Jump Shot","Jump Shot",34.0103,124,34,-118.1458,1,2,0,"2008-09",44,12,"0","2PT Field Goal","Right Side(R)","Mid-Range","8-16 ft.","1","Away","MIN"
"Jump Shot","Jump Shot",33.8723,92,172,-118.1778,8,3,0,"2008-09",3,19,"1","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","1","Away","MIN"
"Fadeaway Jump Shot","Jump Shot",34.0333,136,11,-118.1338,4,3,0,"2008-09",44,13,"0","2PT Field Goal","Right Side(R)","Mid-Range","8-16 ft.","1","Away","MIN"
"Pullup Jump shot","Jump Shot",33.8463,-149,198,-118.4188,4,3,0,"2008-09",10,24,"1","3PT Field Goal","Left Side Center(LC)","Above the Break 3","24+ ft.","1","Away","MIN"
"Jump Shot","Jump Shot",33.8273,-152,217,-118.4218,3,3,0,"2008-09",24,26,"0","3PT Field Goal","Left Side Center(LC)","Above the Break 3","24+ ft.","1","Away","MIN"
